Sl#,Description,Product  weight
660,Apple  Jack Cereal,58666
661,Apple  Jack Cereal,58666
662,Apple  Jack Cereal,58666
663,Apple  Jack Cereal,58999
664,Apple  Jack Cereal,58999
665,Apple  Jack Cereal,58999
666,Apple  Jack Cereal,58999
667,Apple  Jack Cereal,59088
668,Apple  Jack Cereal,59088
669,Apple  Jack Cereal,59088
670,Apple  Jack Cereal,59088
671,Apple  Jack Cereal,59093
672,Apple  Jack Cereal,59093
673,Apple  Jack Cereal,59093
674,Apple  Jack Cereal,59093
675,Apple  Jack Cereal,59058
676,Apple  Jack Cereal,59058
677,Apple  Jack Cereal,59058
678,Apple  Jack Cereal,59058
679,Apple  Jack Cereal,59104
680,Apple  Jack Cereal,59104
681,Apple  Jack Cereal,59104
682,Apple  Jack Cereal,59104
683,Apple  Jack Cereal,58731
684,Apple  Jack Cereal,58731
685,Apple  Jack Cereal,58731
686,Apple  Jack Cereal,58731
687,Apple  Jack Cereal,58909
688,Apple  Jack Cereal,58909
689,Apple  Jack Cereal,58909
690,Apple  Jack Cereal,58909
691,Apple  Jack Cereal,58942
692,Apple  Jack Cereal,58942
693,Apple  Jack Cereal,58942
694,Apple  Jack Cereal,58942
695,Apple  Jack Cereal,58767
696,Apple  Jack Cereal,58767
697,Apple  Jack Cereal,58767
698,Apple  Jack Cereal,58767
699,Apple  Jack Cereal,59145
700,Apple  Jack Cereal,59145
701,Apple  Jack Cereal,59145
702,Apple  Jack Cereal,59145
703,Foot loop,57011
704,Foot loop,57011
705,Foot loop,57011
706,Foot loop,56932
707,Foot loop,56932
708,Foot loop,56932
709,Foot loop,56932
710,Foot loop,57484
711,Foot loop,57484
712,Foot loop,57484
713,Foot loop,57484
714,Foot loop,56727
715,Foot loop,56727
716,Foot loop,56727
717,Foot loop,56727
718,Foot loop,56955
719,Foot loop,56955
720,Foot loop,56955
721,Foot loop,56955
722,Foot loop,56966
723,Foot loop,56966
724,Foot loop,56966
725,Foot loop,56966
726,Foot loop,57182
727,Foot loop,57182
728,Foot loop,57182
729,Foot loop,57182
730,Foot loop,57147
731,Foot loop,57147
732,Foot loop,57147
733,Foot loop,57147
734,Foot loop,57202
735,Foot loop,57202
736,Foot loop,57202
737,Foot loop,57202
738,Foot loop,57286
739,Foot loop,57286
740,Foot loop,57286
741,Foot loop,57286
742,Foot loop,57754
743,Foot loop,57754
744,Foot loop,57754
745,Foot loop,57754
746,Foot loop,56931
747,Foot loop,56931
748,Foot loop,56931
749,Foot loop,56931
750,Foot loop,57049
751,Foot loop,57049
752,Foot loop,57049
753,Foot loop,57049
754,Foot loop,57202
755,Foot loop,57202
756,Foot loop,57202
757,Foot loop,57202
758,Foot loop,56872
759,Foot loop,56872
760,Foot loop,56872
761,Foot loop,56872
762,Foot loop,56773
763,Foot loop,56773
764,Foot loop,56773
765,Foot loop,56773
766,Foot loop,57134
767,Foot loop,57134
768,Foot loop,57134
769,Foot loop,57134
770,Foot loop,56973
771,Foot loop,56973
772,Foot loop,56973
773,Foot loop,56973
774,Foot loop,57212
775,Foot loop,57212
776,Foot loop,57212
777,Foot loop,57212
778,Foot loop,56754
779,Foot loop,56754
780,Foot loop,56754
