Image,Mean_Color,Num_Contours,Num_Edges,Text
167.jpg,"[126.3047871492347, 123.50081712372449, 135.65700733418367]",1,1276530,
168.jpg,"[126.83302774234694, 124.31917649872449, 136.5002590880102]",1,1295400,
169.jpg,"[126.33432318239795, 124.21938775510205, 136.7665019132653]",1,1180140,
17.jpg,"[118.74234693877551, 117.1786112882653, 128.0183553890306]",1,1369860,
170.jpg,"[125.54211176658163, 123.58659518494898, 136.18889508928572]",1,1141635,
171.jpg,"[124.88663903061224, 123.12213010204081, 135.86557318239795]",1,1166115,
172.jpg,"[122.5797193877551, 121.25807158801021, 134.24675143494898]",1,1163310,
173.jpg,"[121.32485650510205, 120.23080755739795, 133.33035714285714]",1,1173510,
174.jpg,"[120.70505819515306, 119.74541613520408, 132.70129145408163]",1,1190850,
175.jpg,"[120.2494818239796, 119.41294642857143, 132.15523357780611]",1,1224510,
176.jpg,"[121.92205436862245, 120.80986926020408, 132.94828204719389]",1,1083240,
177.jpg,"[122.89556760204081, 121.5916972257653, 133.5136120854592]",1,1111035,
178.jpg,"[123.40369897959184, 122.12396364795919, 133.96450494260205]",1,1111545,
179.jpg,"[123.04978475765306, 121.91017617984694, 133.45772879464286]",1,1091400,
18.jpg,"[118.37095424107143, 116.72044403698979, 127.82184709821429]",1,1293360,
180.jpg,"[123.18819754464286, 122.08209103954081, 133.3856823979592]",1,1103895,
181.jpg,"[123.24051339285714, 121.98911830357143, 133.27590880102042]",1,1098285,
182.jpg,"[121.94744499362245, 120.89835778061224, 131.8557676977041]",1,1033515,
183.jpg,"[120.70513791454081, 119.27150430484694, 130.3356784119898]",1,1014135,
184.jpg,"[119.25936702806122, 117.83133370535714, 128.46424585459184]",1,1021275,
185.jpg,"[118.68769929846938, 117.44794323979592, 127.0688177614796]",1,1009545,
186.jpg,"[117.99736926020408, 116.33099489795919, 125.7965162627551]",1,1059015,
187.jpg,"[116.2963568239796, 114.86565290178571, 124.08185188137755]",1,1106190,
188.jpg,"[115.04789142219387, 114.01189811862245, 123.19341916454081]",1,1068450,
189.jpg,"[114.17936862244898, 113.86557318239795, 123.51124043367346]",1,1090635,
19.jpg,"[118.72323421556122, 117.01287468112245, 128.0831074617347]",1,1349205,
190.jpg,"[113.96346859056122, 113.7659837372449, 123.84988839285714]",1,1071000,
191.jpg,"[114.08452248086735, 114.46765385841837, 124.81519052933673]",1,1042185,
192.jpg,"[116.32487643494898, 116.26654177295919, 126.93032525510205]",1,998580,
193.jpg,"[117.55391023596938, 117.42966757015306, 128.23726482780611]",1,1026120,
194.jpg,"[117.71578045280613, 117.67370854591837, 128.6252590880102]",1,1080690,
195.jpg,"[116.2540058992347, 116.44409677933673, 127.57290338010205]",1,1208190,
196.jpg,"[116.56889748086735, 116.8403619260204, 128.03366151147958]",1,1137300,
197.jpg,"[117.38960857780613, 117.50225207270408, 128.9147401147959]",1,1181925,
198.jpg,"[118.60170200892857, 118.56403459821429, 130.17155612244898]",1,1126590,
199.jpg,"[118.60170200892857, 118.56403459821429, 130.17155612244898]",1,1126590,
2.jpg,"[120.51719945790816, 118.55058195153062, 129.6080994897959]",1,1493535,
20.jpg,"[118.72323421556122, 117.01287468112245, 128.0831074617347]",1,1349205,
200.jpg,"[118.11242426658163, 117.75651705994898, 129.09907126913265]",1,1113585,
201.jpg,"[117.64777981505102, 117.1313177614796, 128.47799744897958]",1,1080435,
202.jpg,"[117.2651068239796, 116.52234135841837, 127.99936224489795]",1,1080180,
203.jpg,"[116.49091198979592, 115.70314492984694, 127.41583625637755]",1,1152855,
204.jpg,"[116.6292649872449, 116.21514269770408, 127.87806919642857]",1,1143165,
205.jpg,"[116.70669244260205, 116.41019610969387, 128.04380580357142]",1,1157955,
206.jpg,"[116.84739716198979, 116.7152024872449, 128.12914540816325]",1,1199265,
207.jpg,"[116.72211814413265, 116.70529735331633, 127.91918447066327]",1,1225020,
208.jpg,"[116.94858099489795, 116.89813855229592, 128.05929129464286]",1,1229610,
209.jpg,"[116.56385522959184, 116.45984135841837, 127.44465481505102]",1,1228590,
21.jpg,"[119.07435825892857, 117.13992745535714, 128.55383051658163]",1,1382355,
210.jpg,"[115.75416533801021, 115.54428411989795, 126.57270408163265]",1,1253325,
211.jpg,"[114.35176179846938, 114.54428411989795, 125.1040338010204]",1,1201305,
212.jpg,"[114.00466358418367, 114.1250996492347, 125.03105070153062]",1,1199775,
213.jpg,"[113.6025390625, 113.94802295918367, 124.9368821747449]",1,1260210,
214.jpg,"[113.5063775510204, 113.82842394770408, 124.82553411989795]",1,1222980,
215.jpg,"[113.39622528698979, 113.72560586734694, 124.80050223214286]",1,1230120,
216.jpg,"[113.58294802295919, 113.91017617984694, 125.0121771364796]",1,1246695,
217.jpg,"[113.77756297831633, 114.14020647321429, 125.08693399234694]",1,1243635,
218.jpg,"[114.04151387117346, 114.28764748086735, 125.1796875]",1,1239810,
219.jpg,"[115.56469228316327, 115.60764110331633, 126.69361846301021]",1,1164840,
22.jpg,"[119.580078125, 117.40401785714286, 129.0598294005102]",1,1335945,
220.jpg,"[117.03698979591837, 116.80733816964286, 128.3594746492347]",1,1137555,
221.jpg,"[118.74577487244898, 118.23074776785714, 129.1120455994898]",1,1120215,
222.jpg,"[119.33878746811224, 118.57206632653062, 128.9417649872449]",1,1169175,
223.jpg,"[118.83147321428571, 118.00970583545919, 128.08049665178572]",1,1241595,
224.jpg,"[118.28164859693878, 117.498046875, 127.2305683992347]",1,1270410,
225.jpg,"[118.1119459502551, 117.29958545918367, 127.17520328443878]",1,1199520,
226.jpg,"[117.8100286989796, 116.9322584502551, 126.85602678571429]",1,1218135,
227.jpg,"[117.35196109693878, 116.23361766581633, 125.61019212372449]",1,1232160,
228.jpg,"[116.35176179846938, 115.30474728954081, 124.48646763392857]",1,1225785,
229.jpg,"[115.24868463010205, 114.31499123086735, 123.47315449617346]",1,1223490,
23.jpg,"[119.75611846301021, 117.60128348214286, 129.38811383928572]",1,1326765,
230.jpg,"[113.71400669642857, 113.33581792091837, 122.86212531887755]",1,1283670,
231.jpg,"[114.0219427614796, 113.73529177295919, 123.38570232780613]",1,1269390,
232.jpg,"[114.26895328443878, 114.24764827806122, 123.87215003188776]",1,1330590,
233.jpg,"[114.31415417729592, 114.29480229591837, 123.86383928571429]",1,1338240,
234.jpg,"[114.37105389030613, 114.33332669005102, 123.89674346301021]",1,1317840,
235.jpg,"[114.53200733418367, 114.45003587372449, 124.05560427295919]",1,1310700,
236.jpg,"[114.75641741071429, 114.5877909757653, 124.31144371811224]",1,1320645,
237.jpg,"[114.66996173469387, 114.70744977678571, 124.20697146045919]",1,1331100,
238.jpg,"[114.55745774872449, 114.44525271045919, 124.01213727678571]",1,1326765,
239.jpg,"[114.43975207270408, 114.34739716198979, 123.88871173469387]",1,1298460,
24.jpg,"[120.26973054846938, 117.92528300382654, 130.0489277742347]",1,1326255,
240.jpg,"[114.5743183992347, 114.42536272321429, 123.8958665497449]",1,1297695,
241.jpg,"[114.5083306760204, 114.40646922831633, 123.86822385204081]",1,1294380,
242.jpg,"[114.50115593112245, 114.41615513392857, 123.89664381377551]",1,1311975,
243.jpg,"[114.51004464285714, 114.38454639668367, 123.87460140306122]",1,1304070,
25.jpg,"[120.7211615114796, 118.43608498086735, 131.57182716836735]",1,1368585,
26.jpg,"[120.75340800382654, 118.6328125, 131.7453762755102]",1,1422900,
27.jpg,"[120.5033880739796, 118.58785076530613, 131.87647480867346]",1,1418055,
28.jpg,"[120.43875558035714, 118.46659757653062, 131.6597975127551]",1,1452735,
29.jpg,"[120.22309470663265, 118.24643255739795, 131.64682318239795]",1,1392045,
